iter	Passed	Remaining
436	1367	1761
437	1370	1758
438	1373	1754
439	1375	1751
440	1378	1747
441	1381	1744
442	1384	1740
443	1387	1737
444	1390	1734
445	1393	1730
446	1396	1727
447	1399	1724
448	1401	1720
449	1404	1716
450	1407	1713
451	1410	1709
452	1412	1706
453	1415	1702
454	1419	1699
455	1421	1696
456	1424	1692
457	1427	1689
458	1430	1686
459	1433	1683
460	1436	1680
461	1439	1676
462	1442	1672
463	1444	1669
464	1447	1665
465	1450	1662
466	1453	1658
467	1455	1655
468	1458	1651
469	1461	1647
470	1463	1643
471	1466	1640
472	1469	1637
473	1471	1633
474	1474	1629
475	1477	1626
476	1480	1622
477	1482	1619
478	1485	1615
479	1488	1612
480	1490	1608
481	1493	1605
482	1496	1602
483	1499	1598
484	1502	1595
485	1505	1592
486	1508	1589
487	1511	1585
488	1514	1582
489	1517	1579
490	1520	1576
491	1523	1572
492	1526	1569
493	1528	1566
494	1532	1562
495	1535	1559
496	1537	1556
497	1540	1552
498	1542	1548
499	1545	1545
500	1547	1541
501	1550	1538
502	1553	1534
503	1556	1531
504	1558	1528
505	1561	1524
506	1564	1520
507	1566	1517
508	1569	1513
509	1572	1510
510	1574	1507
511	1577	1503
512	1580	1500
513	1583	1497
514	1586	1493
515	1589	1490
516	1592	1487
517	1595	1484
518	1597	1480
519	1600	1477
520	1603	1474
521	1606	1470
522	1608	1467
523	1611	1463
524	1614	1460
525	1616	1457
526	1619	1453
527	1622	1450
528	1625	1446
529	1627	1443
530	1630	1440
531	1633	1437
532	1636	1433
533	1639	1430
534	1641	1426
535	1644	1423
536	1647	1420
537	1649	1416
538	1652	1413
539	1654	1409
540	1657	1406
541	1660	1403
542	1663	1399
543	1665	1396
544	1668	1392
545	1671	1389
546	1673	1386
547	1676	1383
548	1679	1379
549	1682	1376
550	1684	1372
551	1687	1369
552	1690	1366
553	1693	1362
554	1695	1359
555	1698	1356
556	1700	1352
557	1703	1349
558	1706	1346
559	1709	1343
560	1712	1339
561	1715	1336
562	1717	1333
563	1720	1329
564	1723	1326
565	1726	1323
566	1729	1320
567	1731	1317
568	1734	1313
569	1737	1310
570	1740	1307
571	1743	1304
572	1747	1301
573	1750	1298
574	1753	1295
575	1756	1292
576	1759	1289
577	1762	1286
578	1765	1283
579	1768	1280
580	1771	1277
581	1774	1274
582	1777	1271
583	1780	1267
584	1783	1264
585	1785	1261
586	1788	1258
587	1791	1255
588	1794	1251
589	1797	1248
590	1799	1245
591	1802	1242
592	1805	1239
593	1808	1236
594	1811	1232
595	1813	1229
596	1816	1226
597	1819	1223
598	1822	1219
599	1825	1216
600	1827	1213
601	1830	1210
602	1833	1207
603	1836	1204
604	1839	1200
605	1841	1197
606	1844	1194
607	1847	1191
608	1850	1187
609	1853	1184
610	1855	1181
611	1858	1178
612	1862	1175
613	1865	1172
614	1868	1169
615	1871	1166
616	1874	1163
617	1877	1160
618	1880	1157
619	1883	1154
620	1886	1151
621	1889	1148
622	1891	1144
623	1894	1141
624	1897	1138
625	1899	1135
626	1902	1132
627	1905	1128
628	1908	1125
629	1911	1122
630	1914	1119
631	1916	1116
632	1919	1113
633	1922	1109
634	1925	1106
635	1927	1103
